title,original_language
tar,en
home alone 3,en
ill gotten gains,en
man of her dreams,en
midnight in the garden of good and evil,en
mousehunt,en
never met picasso,en
office killer,en
other voices other rooms,en
scream 2,en
stranger in the house,en
the sweet hereafter,en
time tracers,en
titanic,en
tomorrow never dies,en
twisted,en
full speed,fr
the education of little tree,it
the postman,en
the horse whisperer,en
the winter guest,en
jackie brown,en
kundun,en
mr. magoo,en
the big lebowski,en
afterglow,en
my life in pink,fr
great expectations,en
3 ninjas: high noon at mega mountain,en
men of means,en
caught up,en
arguing the world,en
firestorm,en
senseless,pt
wag the dog,en
dark city,en
the leading man,en
star kid,en
hard rain,en
half baked,en
fallen,en
shooting fish,en
the prophecy ii,en
fallen angels,cn
four days in september,pt
spice world,en
deep rising,en
tainted,en
a letter from death row,en
music from another room,en
mother and son,ru
the replacement killers,en
b. monkey,en
the night flier,en
blues brothers 2000,en
tokyo fist,ja
ride,en
the wedding singer,en
sphere,en
ayn rand: a sense of life,en
a further gesture,en
little city,en
palmetto,en
as good as it gets,en
king of new york,en
a paralyzing fear: the story of polio in america,en
men with guns,en
twilight,en
u.s. marshals,en
welcome to woop woop,en
love and death on long island,en
midaq alley,es
in god's hands,en
everest,en
hush,en
suicide kings,en
the man in the iron mask,en
the newton boys,en
wild things,en
paulie,en
"a cool, dry place",en
fireworks,ja
primary colors,en
"niagara, niagara",en
wide awake,en
a price above rubies,en
eden,en
two girls and a guy,en
no looking back,en
storefront hitchcock,en
the proposition,en
the object of my affection,en
meet the deedles,en
homegrown,en
the players club,en
barney's great adventure,en
the big one,en
chinese box,en
lost in space,en
heaven's burning,en
mercury rising,en
the spanish prisoner,en
city of angels,en
the last days of disco,en
the odd couple ii,en
my giant,en
he got game,en
the gingerbread man,en
illtown,en
slappy and the stinkers,en
live flesh,es
zero effect,en
nil by mouth,en
ratchet,en
the borrowers,en
prince valiant,en
"i love you, don't touch me!",fr
leather jacket love story,en
love walked in,en
"an alan smithee film: burn, hollywood, burn",en
kissing a fool,en
krippendorf's tribe,en
kurt & courtney,en
the real blonde,en
mr. nice guy,cn
taste of cherry,fa
character,nl
junk mail,nb
species ii,en
major league: back to the minors,en
sour grapes,en
wild man blues,en
the big hit,en
tarzan and the lost city,en
black dog,en
"dancer, texas pop. 81",en
a friend of the deceased,en
go now,en
les misérables,en
still breathing,en
clockwatchers,en
deep impact,en
little men,en
woo,en
the hanging garden,en
lawn dogs,en
quest for camelot,en
godzilla,en
bulworth,en
fear and loathing in las vegas,en
the opposite of sex,en
i got the hook up,en
almost heroes,en
hope floats,en
insomnia,no
little boy blue,en
the ugly,fr
a perfect murder,en
beyond silence,de
six days seven nights,en
can't hardly wait,en
cousin bette,en
high art,en
the land girls,en
passion in the desert,en
children of heaven,fa
dear jesse,en
dream for an insomniac,en
hav plenty,en
henry fool,en
marie from the bay of angels,en
mr. jealousy,en
mulan,en
resurrection man,en
the x files,en
i went down,en
doctor dolittle,en
out of sight,en
picnic at hanging rock,en
smoke signals,en
voyage to the beginning of the world,pt
buffalo '66,en
armageddon,en
lethal weapon 4,en
madeline,en
small soldiers,en
pi,en
whatever,en
there's something about mary,en
plan 9 from outer space,en
wings,en
the broadway melody,en
all quiet on the western front,en
cimarron,en
grand hotel,en
cavalcade,en
mutiny on the bounty,en
the great ziegfeld,en
the life of emile zola,en
you can't take it with you,en
how green was my valley,en
mrs. miniver,en
going my way,en
the lost weekend,en
the best years of our lives,en
gentleman's agreement,en
hamlet,en
all the king's men,en
the greatest show on earth,en
from here to eternity,en
on the waterfront,en
marty,en
west side story,en
tom jones,en
a man for all seasons,en
in the heat of the night,en
oliver!,en
midnight cowboy,en
the french connection,en
rocky,en
kramer vs. kramer,en
ordinary people,en
chariots of fire,en
terms of endearment,en
out of africa,en
the last emperor,en
rain man,en
driving miss daisy,en
take the money and run,en
klute,en
repo man,en
metropolitan,en
labyrinth,en
the breakfast club,en
a nightmare on elm street part 2: freddy's revenge,en
a nightmare on elm street 3: dream warriors,en
a nightmare on elm street 4: the dream master,en
a nightmare on elm street 5: the dream child,en
freddy's dead: the final nightmare,en
friday the 13th,en
friday the 13th part 2,en
friday the 13th part iii,en
friday the 13th: the final chapter,en
friday the 13th: a new beginning,en
friday the 13th part vi: jason lives,en
friday the 13th part vii: the new blood,en
friday the 13th part viii: jason takes manhattan,en
halloween,en
halloween ii,en
halloween iii: season of the witch,en
halloween 4: the return of michael myers,en
halloween 5: the revenge of michael myers,en
prom night,en
hello mary lou: prom night ii,en
prom night iii: the last kiss,en
prom night iv: deliver us from evil,en
child's play,en
child's play 2,en
child's play 3,en
poltergeist,en
poltergeist ii: the other side,en
poltergeist iii,en
the exorcist,en
exorcist ii: the heretic,en
the exorcist iii,en
lethal weapon,en
lethal weapon 2,en
lethal weapon 3,en
gremlins,en
gremlins 2: the new batch,en
the goonies,en
the mask of zorro,en
polish wedding,en
"this world, then the fireworks",en
soylent green,en
metropolis,de
back to the future part ii,en
back to the future part iii,en
the poseidon adventure,en
freaky friday,en
the absent-minded professor,en
the apple dumpling gang rides again,en
babes in toyland,en
bambi,en
seven samurai,ja
dangerous liaisons,en
dune,en
the last temptation of christ,en
the godfather: part iii,en
the rapture,en
lolita,en
disturbing behavior,en
jane austen's mafia!,en
saving private ryan,en
billy's hollywood screen kiss,en
east palace west palace,zh
the million dollar duck,en
the barefoot executive,en
the black cauldron,en
the black hole,en
blackbeard's ghost,en
blank check,en
candleshoe,en
the cat from outer space,en
cheetah,en
the computer wore tennis shoes,en
condorman,en
d2: the mighty ducks,en
darby o'gill and the little people,en
the devil and max devlin,en
a far off place,en
flight of the navigator,en
the gnome-mobile,en
the great mouse detective,en
the happiest millionaire,en
herbie goes bananas,en
herbie goes to monte carlo,en
hocus pocus,en
honey i blew up the kid,en
"honey, i shrunk the kids",en
hot lead & cold feet,en
in search of the castaways,en
the incredible journey,en
the negotiator,en
the parent trap,en
baseketball,en
full tilt boogie,en
the governess,en
seventh heaven,fr
roger & me,en
the purple rose of cairo,en
out of the past,en
doctor zhivago,en
fanny & alexander,sv
the trip to bountiful,en
tender mercies,en
and the band played on,en
the 'burbs,en
fandango,en
the night porter,en
mephisto,de
blue velvet,en
the journey of natty gann,en
the jungle book,en
kidnapped,en
lady and the tramp,en
the little mermaid,en
the mighty ducks,en
the muppet christmas carol,en
newsies,en
one hundred and one dalmatians,en
one magic christmas,en
peter pan,en
popeye,en
the rescuers down under,en
the rescuers,en
return from witch mountain,en
the return of jafar,en
return to oz,en
the rocketeer,en
the shaggy d.a.,en
sleeping beauty,en
something wicked this way comes,en
son of flubber,en
song of the south,en
splash,en
squanto: a warrior's tale,en
steamboat willie,en
tall tale,en
tex,en
tron,en
swing kids,en
halloween: h20,en
l.a. story,en
the jerk,en
dead men don't wear plaid,en
the man with two brains,en
grand canyon,en
graveyard shift,en
the outsiders,en
indiana jones and the temple of doom,en
the lord of the rings,en
nineteen eighty-four,en
the dead zone,en
maximum overdrive,en
needful things,en
cujo,en
children of the corn,en
all dogs go to heaven,en
the addams family,en
ever after: a cinderella story,en
snake eyes,en
"first love, last rites",en
safe men,en
the saltmen of tibet,en
atlantic city,en
autumn sonata,sv
who's afraid of virginia woolf?,en
adventures in babysitting,en
weird science,en
doctor dolittle,en
the nutty professor,en
charlotte's web,en
watership down,en
the secret of nimh,en
the dark crystal,en
an american tail,en
an american tail: fievel goes west,en
legend,en
sixteen candles,en
pretty in pink,en
st. elmo's fire,en
the clan of the cave bear,en
house,en
house ii: the second story,en
the gods must be crazy,en
the gods must be crazy ii,en
air bud: golden receiver,en
the avengers,en
how stella got her groove back,en
slums of beverly hills,en
the best man,it
the chambermaid on the titanic,en
"henry ii, portrait of a serial killer",en
henry: portrait of a serial killer,en
rosemary's baby,en
the neverending story,en
the neverending story ii: the next chapter,en
attack of the killer tomatoes!,en
surf nazis must die,en
your friends & neighbors,en
return to paradise,en
blade,en
dance with me,en
dead man on campus,en
wrongfully accused,en
next stop wonderland,en
all i wanna do,en
the navigator: a medieval odyssey,en
beetlejuice,en
déjà vu,en
rope,en
family plot,en
frenzy,en
topaz,en
torn curtain,en
marnie,en
the wrong man,en
the man who knew too much,en
the trouble with harry,en
i confess,en
strangers on a train,en
stage fright,en
54,en
i married a strange person!,en
why do fools fall in love,en
keep the aspidistra flying,en
see the sea,fr
willow,en
the untouchables,en
dirty work,en
knock off,en
firelight,en
modulations,en
phoenix,en
under capricorn,en
the paradine case,en
lifeboat,en
shadow of a doubt,en
saboteur,en
mr. & mrs. smith,en
suspicion,en
jamaica inn,en
the lady vanishes,en
young and innocent,en
sabotage,en
secret agent,en
the man who knew too much,en
waltzes from vienna,en
number seventeen,en
rich and strange,en
the skin game,en
elstree calling,en
juno and the paycock,en
murder!,en
the manxman,en
blackmail,en
champagne,en
the farmer's wife,en
downhill,en
easy virtue,en
the ring,en
the lodger: a story of the london fog,en
the pleasure garden,de
rounders,en
cube,en
digging to china,en
let's talk about sex,en
one man's hero,en
simon birch,en
without limits,en
seven beauties,it
swept away,it
my bodyguard,en
class,en
"grandview, u.s.a.",en
broadcast news,en
the allnighter,en
working girl,en
stars & bars,en
married to the mob,en
say anything...,en
my blue heaven,en
men don't leave,en
the cabinet of dr. ramirez,fr
hero,en
toys,en
choices,en
young doctors in love,en
parasite,en
no small affair,en
blame it on rio,en
wisdom,en
one crazy summer,en
about last night...,en
the seventh sign,en
we're no angels,en
nothing but trouble,en
the butcher's wife,en
mortal thoughts,en
a few good men,en
indecent proposal,en
permanent midnight,en
one true thing,en
rush hour,en
lilian's story,en
six-string samurai,en
a soldier's daughter never cries,it
somewhere in the city,en
ronin,en
urban legend,en
clay pigeons,en
monument ave.,en
pecker,en
the sheltering sky,en
bandit queen,en
if....,en
the fiendish plot of dr. fu manchu,en
them!,en
the thing,en
the player,en
stardust memories,en
edward scissorhands,en
overnight delivery,en
shadrach,en
antz,en
the impostors,en
a night at the roxbury,en
what dreams may come,en
strangeland,en
the battle of the sexes,en
the producers,en
history of the world: part i,en
my cousin vinny,en
nashville,en
love is the devil: study for a portrait of francis bacon,en
slam,en
holy man,en
one tough cop,en
detroit 9000,en
the inheritors,de
the mighty,en
2010,en
children of a lesser god,en
the elephant man,en
beloved,en
bride of chucky,en
practical magic,en
the alarmist,en
happiness,en
reach the rock,en
apt pupil,en
pleasantville,en
soldier,en
the cruise,en
life is beautiful,it
orgazmo,en
shattered image,en
tales from the darkside: the movie,en
vampires,en
american history x,en
hands on a hard body: the documentary,en
living out loud,en
belly,en
gods and monsters,en
the siege,en
the waterboy,en
elizabeth,en
velvet goldmine,en
i still know what you did last summer,en
i'll be home for christmas,en
meet joe black,en
dancing at lughnasa,en
hard core logo,en
the naked man,en
runaway train,en
desert bloom,en
the stepford wives,en
the pope of greenwich village,en
sid & nancy,en
mona lisa,en
heart condition,en
nights of cabiria,it
the big chill,en
enemy of the state,en
the rugrats movie,en
a bug's life,en
celebrity,en
central station,pt
savior,en
waking ned,en
the celebration,da
pink flamingos,en
glen or glenda,en
godzilla,ja
godzilla 1985,ja
king kong vs. godzilla,ja
king kong,en
king kong,en
king kong lives,en
desperately seeking susan,en
the emerald forest,en
fletch,en
fletch lives,en
red sonja,en
gung ho,en
the money pit,en
a view to a kill,en
lifeforce,en
police academy,en
police academy 2: their first assignment,en
police academy 3: back in training,en
police academy 4: citizens on patrol,en
police academy 5: assignment miami beach,en
police academy 6: city under siege,en
babe: pig in the city,en
home fries,en
ringmaster,en
very bad things,en
steam: the turkish bath,it
psycho,en
little voice,en
a simple plan,en
jack frost,en
star trek: insurrection,en
the prince of egypt,en
rushmore,en
shakespeare in love,en
mass appeal,en
miracle on 34th street,en
santa claus: the movie,en
prancer,fr
pale rider,en
rambo: first blood part ii,en
first blood,en
rambo iii,en
the jewel of the nile,en
romancing the stone,en
cocoon,en
cocoon: the return,en
rocky ii,en
rocky iii,en
rocky iv,en
