title,production_countries
Basquiat,['united states of america']
Tin Cup,['united states of america']
Dingo,"['australia', 'france']"
The Ballad of Narayama,['japan']
Every Other Weekend,['france']
Mille bolle blu,
Crows and Sparrows,
The Godfather,['united states of america']
Maybe... Maybe Not,['germany']
Police Story 3: Supercop,['hong kong']
Manny & Lo,['united states of america']
Wife,['japan']
Small Faces,['united kingdom']
Bound,['united states of america']
Carpool,['united states of america']
Death in Brunswick,['australia']
Kansas City,['united states of america']
Gone Fishin',['united states of america']
Lover's Knot,
Vive L'Amour,['taiwan']
Shadow of Angels,"['switzerland', 'germany']"
Killer: A Journal of Murder,['united states of america']
Nothing to Lose,
Project S,['hong kong']
Girls Town,['united states of america']
Bye-Bye,
The Relic,"['germany', 'japan', 'new zealand', 'united kingdom', 'united states of america']"
The Island of Dr. Moreau,['united states of america']
First Kid,['united states of america']
The Trigger Effect,['united states of america']
Sweet Nothing,
Bogus,['united states of america']
Bulletproof,['united states of america']
Talk of Angels,['united states of america']
The Land Before Time III: The Time of the Great Giving,['united states of america']
1-900,
Baton Rouge,
Halloween: The Curse of Michael Myers,['united states of america']
Twelfth Night,"['united kingdom', 'ireland', 'united states of america']"
Mother Night,['united states of america']
Liebelei,['germany']
Venice,
Wild Reeds,['france']
For Whom the Bell Tolls,['united states of america']
The Philadelphia Story,['united states of america']
Singin' in the Rain,['united states of america']
An American in Paris,['united states of america']
Funny Face,['united states of america']
Breakfast at Tiffany's,['united states of america']
Vertigo,['united states of america']
Rear Window,['united states of america']
It Happened One Night,['united states of america']
Gaslight,['united states of america']
The Gay Divorcee,['united states of america']
North by Northwest,['united states of america']
The Apartment,['united states of america']
Some Like It Hot,['united states of america']
Charade,['united states of america']
Casablanca,['united states of america']
The Maltese Falcon,['united states of america']
My Fair Lady,['united states of america']
Sabrina,['united states of america']
Roman Holiday,['united states of america']
The Little Princess,['united states of america']
Meet Me in St. Louis,['united states of america']
The Wizard of Oz,['united states of america']
Gone with the Wind,['united states of america']
My Favorite Year,['united states of america']
Sunset Boulevard,['united states of america']
Citizen Kane,['united states of america']
2001: A Space Odyssey,"['united states of america', 'united kingdom']"
Golden Earrings,['united states of america']
All About Eve,['united states of america']
The Women,['united states of america']
Rebecca,['united states of america']
Foreign Correspondent,['united states of america']
Notorious,['united states of america']
Spellbound,['united states of america']
An Affair to Remember,['united states of america']
To Catch a Thief,['united states of america']
Father of the Bride,['united states of america']
The Band Wagon,['united states of america']
Ninotchka,['united states of america']
Love in the Afternoon,['united states of america']
Gigi,['united states of america']
The Reluctant Debutante,['united states of america']
The Adventures of Robin Hood,['united states of america']
The Mark of Zorro,['united states of america']
Laura,['united states of america']
The Ghost and Mrs. Muir,['united states of america']
Lost Horizon,['united states of america']
Top Hat,['united states of america']
To Be or Not to Be,['united states of america']
My Man Godfrey,['united states of america']
Giant,['united states of america']
East of Eden,['united states of america']
The Thin Man,['united states of america']
His Girl Friday,['united states of america']
Around the World in Eighty Days,['united states of america']
It's a Wonderful Life,['united states of america']
Mr. Smith Goes to Washington,['united states of america']
Bringing Up Baby,['united states of america']
Penny Serenade,['united states of america']
The Scarlet Letter,['united states of america']
Lady of Burlesque,['united states of america']
Of Human Bondage,['united states of america']
Angel on My Shoulder,['united states of america']
Little Lord Fauntleroy,['united states of america']
They Made Me a Criminal,['united states of america']
The Inspector General,['united states of america']
Angel and the Badman,['united states of america']
The 39 Steps,['united kingdom']
A Walk in the Sun,['united states of america']
The Outlaw,['united states of america']
Night of the Living Dead,['united states of america']
The African Queen,"['united kingdom', 'united states of america']"
Beat the Devil,"['united states of america', 'united kingdom', 'italy']"
Cat on a Hot Tin Roof,['united states of america']
The Last Time I Saw Paris,"['united states of america', 'france']"
Meet John Doe,['united states of america']
Algiers,['united states of america']
Something to Sing About,['united states of america']
A Farewell to Arms,['united states of america']
Moonlight Murder,['united states of america']
Nothing Personal,"['ireland', 'united kingdom']"
"Yes, Madam",['hong kong']
Dangerous Ground,"['united states of america', 'south africa']"
Picnic,['united states of america']
Madagascar Skin,
The Pompatus of Love,"['united states of america', 'france']"
Small Wonders,
Fly Away Home,['united states of america']
Bliss,"['canada', 'united states of america']"
Grace of My Heart,['united states of america']
Brother of Sleep,"['austria', 'germany']"
Maximum Risk,['united states of america']
Michael Collins,"['ireland', 'united kingdom']"
The Rich Man's Wife,['united states of america']
Infinity,['united states of america']
Big Night,['united states of america']
Last Man Standing,['united states of america']
Caught,['united states of america']
Set It Off,['united states of america']
2 Days in the Valley,['united states of america']
Curdled,['united states of america']
L'associé,
Ed's Next Move,
Extreme Measures,['united states of america']
The Glimmer Man,['united states of america']
D3: The Mighty Ducks,['united states of america']
The Chamber,['united states of america']
The Apple Dumpling Gang,['united states of america']
"Davy Crockett, King of the Wild Frontier",['united states of america']
Escape to Witch Mountain,['united states of america']
The Love Bug,['united states of america']
Herbie Rides Again,['united states of america']
Old Yeller,['united states of america']
The Parent Trap,['united states of america']
Pollyanna,['united states of america']
Homeward Bound: The Incredible Journey,['united states of america']
The Shaggy Dog,['united states of america']
Swiss Family Robinson,"['trinidad and tobago', 'united kingdom']"
That Darn Cat!,['united states of america']
"20,000 Leagues Under the Sea",['united states of america']
Cool Runnings,['united states of america']
Angels in the Outfield,['united states of america']
Cinderella,['united states of america']
Winnie the Pooh and the Blustery Day,['united states of america']
The Three Caballeros,['united states of america']
The Sword in the Stone,['united states of america']
So Dear to My Heart,['united states of america']
Robin Hood: Prince of Thieves,['united states of america']
Mary Poppins,['united states of america']
Dumbo,['united states of america']
Pete's Dragon,['united states of america']
Bedknobs and Broomsticks,['united states of america']
Alice in Wonderland,['united states of america']
The Fox and the Hound,['united states of america']
Freeway,['united states of america']
The Sound of Music,['united states of america']
Die Hard,['united states of america']
The Lawnmower Man,"['united kingdom', 'japan', 'united states of america']"
Unhook the Stars,"['france', 'united states of america']"
Synthetic Pleasures,
The Secret Agent,['united kingdom']
Secrets & Lies,"['united kingdom', 'france']"
That Thing You Do!,['united states of america']
To Gillian on Her 37th Birthday,['united states of america']
Surviving Picasso,['united states of america']
Love Is All There Is,['united states of america']
Beautiful Thing,['united kingdom']
